LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default,AVG_BILL_AMT,AVG_PAY_AMT,MAX_BILL_AMT,MAX_PAY_AMT,CREDIT_UTILIZATION,TOTAL_PAYMENT,TOTAL_BILL,PAYMENT_TO_BILL_RATIO,AVG_PAYMENT_STATUS,NUM_DELAYED_PAYMENTS,AGE_GROUP
90000,1,1,2,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,5310.666666666667,2733.3333333333335,8292,5757,0.05900740740740741,16400,31864,0.5146874215415516,-0.16666666666666666,0,18-25
50000,1,3,2,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,35715.833333333336,1315.1666666666667,47620,1973,0.7143166666666667,7891,214295,0.036823071000256655,0.0,0,18-25
60000,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,-65.66666666666667,416.6666666666667,259,1000,-0.0010944444444444445,2500,-394,-6.345177664974619,-0.8333333333333334,1,26-35
50000,2,3,2,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,18711.333333333332,1185.3333333333333,22541,1500,0.37422666666666665,7112,112268,0.06334841628959276,0.0,0,26-35
50000,2,3,1,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,6701.333333333333,6594.5,30430,30430,0.13402666666666666,39567,40208,0.9840578989255869,-1.0,0,36-50
50000,1,1,2,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,16180.333333333334,1100.0,18375,1600,0.32360666666666665,6600,97082,0.06798376630065306,0.0,0,26-35
230000,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,18957.666666666668,16248.166666666666,36923,37292,0.08242463768115943,97489,113746,0.8570762927927136,-1.0,0,26-35
50000,1,2,2,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,25311.5,1155.6666666666667,30518,1718,0.50623,6934,151869,0.04565777084197565,0.3333333333333333,1,26-35
100000,1,1,2,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,82539.5,3124.0,93036,3511,0.825395,18744,495237,0.037848545241975055,0.0,0,26-35
500000,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,20957.333333333332,26417.0,71439,71439,0.04191466666666666,158502,125744,1.2605134240997582,-2.0,0,51+
500000,1,1,1,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,9719.666666666666,7570.833333333333,31130,31178,0.019439333333333333,45425,58318,0.7789190301450667,-2.0,0,51+
160000,1,1,2,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,4218.666666666667,380.0,30265,792,0.02636666666666667,2280,25312,0.09007585335018964,-1.5,0,26-35
280000,1,2,1,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,178329.5,6987.166666666667,186503,8060,0.6368910714285714,41923,1069977,0.03918121604483087,0.0,0,36-50
60000,2,2,2,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,5379.833333333333,8891.5,18660,47671,0.08966388888888889,53349,32279,1.6527463676074228,-0.16666666666666666,0,18-25
50000,1,1,2,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,130.0,130.0,780,780,0.0026,780,780,1.0,-1.1666666666666667,1,18-25
280000,1,1,2,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,8607.166666666666,6226.166666666667,17976,9976,0.03073988095238095,37357,51643,0.7233700598338594,-0.3333333333333333,1,26-35
360000,1,1,2,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,275125.1666666667,40640.0,628699,188840,0.7642365740740741,243840,1650751,0.1477145856643431,0.0,0,26-35
70000,2,1,2,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,65476.0,3223.6666666666665,67521,4500,0.9353714285714285,19342,392856,0.049234325045309224,0.0,0,18-25
10000,1,2,2,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,3793.5,1204.5,6003,2927,0.37935,7227,22761,0.31751680506128904,0.0,0,18-25
140000,2,2,1,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,64189.0,3333.3333333333335,69802,4000,0.45849285714285715,20000,385134,0.05192997761817965,0.0,0,36-50
40000,2,1,2,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,24530.833333333332,2166.6666666666665,29197,5000,0.6132708333333333,13000,147185,0.08832421782110948,0.3333333333333333,1,26-35
210000,1,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0,0.0,-2.0,0,26-35
20000,2,1,2,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,13221.333333333334,3345.8333333333335,16675,16741,0.6610666666666667,20075,79328,0.25306323114158935,0.16666666666666666,1,18-25
150000,2,5,2,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,1639.5,363.8333333333333,4463,1170,0.01093,2183,9837,0.22191725119446987,-0.5,0,36-50
380000,1,2,2,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,19135.833333333332,15555.333333333334,32018,24677,0.05035745614035087,93332,114815,0.8128903017898358,-1.0,0,26-35
20000,1,1,2,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,19301.666666666668,1041.0,20480,1318,0.9650833333333334,6246,115810,0.05393316639323029,0.0,0,18-25
70000,1,3,2,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,38168.666666666664,1350.0,39423,3100,0.5452666666666667,8100,229012,0.03536932562485809,1.5,5,36-50
100000,2,3,3,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,44197.5,1601.0,61559,2000,0.441975,9606,265185,0.03622376831268737,0.0,0,36-50
310000,2,2,1,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,7354.166666666667,5111.333333333333,13465,11185,0.023723118279569893,30668,44125,0.6950254957507083,-2.0,0,36-50
180000,2,1,2,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,43191.833333333336,1707.6666666666667,45319,2010,0.23995462962962966,10246,259151,0.03953679515031777,0.5,2,18-25
150000,2,1,2,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,29458.5,2144.5,46224,5000,0.19639,12867,176751,0.07279732505049476,0.3333333333333333,1,26-35
500000,2,1,1,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,1398.0,1080.5,3640,3640,0.002796,6483,8388,0.772889842632332,-2.0,0,36-50
180000,2,3,1,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,9234.0,4863.166666666667,16386,9000,0.0513,29179,55404,0.5266587250018049,-0.5,0,26-35
180000,2,2,1,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,158727.0,5677.0,175886,8083,0.8818166666666667,34062,952362,0.03576581173965362,0.0,0,26-35
200000,2,1,2,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,1124.5,316.6666666666667,1587,1200,0.0056225,1900,6747,0.2816066399881429,1.6666666666666667,5,26-35
400000,2,2,1,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,380690.0,18171.5,404205,30000,0.951725,109029,2284140,0.047733063647587275,0.0,0,26-35
500000,2,3,1,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,18283.166666666668,1469.3333333333333,23638,2000,0.03656633333333333,8816,109699,0.08036536340349502,0.0,0,26-35
70000,1,2,1,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,40707.0,2020.0,72060,4025,0.5815285714285714,12120,244242,0.049622914977767954,-0.16666666666666666,0,36-50
50000,1,1,2,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,26279.0,1020.8333333333334,28264,2700,0.52558,6125,157674,0.03884597333739234,2.0,6,26-35
50000,2,2,1,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,9647.333333333334,166.66666666666666,29166,1000,0.19294666666666668,1000,57884,0.017275931172690207,-1.0,0,36-50
130000,2,2,1,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,408.6666666666667,392.1666666666667,2353,2353,0.0031435897435897436,2353,2452,0.9596247960848288,-1.3333333333333333,0,51+
200000,1,1,1,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,78272.66666666667,1587.0,152519,8222,0.39136333333333334,9522,469636,0.020275277023056155,-0.5,2,51+
10000,1,2,1,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,3808.6666666666665,501.6666666666667,4326,2300,0.38086666666666663,3010,22852,0.13171713635568003,1.0,3,51+
210000,2,1,2,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,1431.5,1533.0,4250,4250,0.006816666666666667,9198,8589,1.0709046454767726,-0.5,1,26-35
130000,2,3,2,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,1316.8333333333333,6896.5,10311,20161,0.010129487179487178,41379,7901,5.237185166434629,-0.5,2,26-35
20000,1,5,2,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,14721.0,616.6666666666666,18565,1200,0.73605,3700,88326,0.0418902701356339,0.3333333333333333,1,18-25
80000,1,1,2,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,390.0,325.0,780,390,0.004875,1950,2340,0.8333333333333334,-1.0,0,26-35
320000,1,2,2,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,60358.666666666664,2300.0,63526,4800,0.18862083333333332,13800,362152,0.0381055468422099,2.0,6,26-35
200000,2,2,1,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,4404.166666666667,3252.0,9076,9102,0.022020833333333333,19512,26425,0.7383916745506149,-0.5,1,26-35
290000,2,1,2,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,919.0,919.0,3155,3155,0.0031689655172413792,5514,5514,1.0,-0.8333333333333334,1,36-50
340000,1,1,2,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,23699.833333333332,23666.166666666668,80153,80552,0.06970539215686274,141997,142199,0.9985794555517268,-1.0,0,26-35
20000,1,2,2,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,16888.0,931.6666666666666,18543,2850,0.8444,5590,101328,0.055167377230380545,0.3333333333333333,1,18-25
50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,24234.333333333332,1059.6666666666667,42838,1779,0.48468666666666665,6358,145406,0.043725843500268216,-0.16666666666666666,0,18-25
300000,2,1,1,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,291.0,291.0,291,291,0.00097,1746,1746,1.0,-1.0,0,36-50
30000,2,2,2,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,24864.333333333332,1401.8333333333333,30326,3000,0.828811111111111,8411,149186,0.05637928491949647,0.0,0,18-25
240000,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0,0,0.0,-1.5,1,36-50
470000,2,3,3,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,102470.5,3654.3333333333335,165254,7566,0.21802234042553192,21926,614823,0.03566229630316368,0.0,0,26-35
360000,2,1,2,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,49150.5,26892.5,180000,146900,0.13652916666666667,161355,294903,0.5471460107221696,-0.16666666666666666,0,26-35
60000,1,3,2,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,23927.666666666668,890.8333333333334,28108,1576,0.39879444444444445,5345,143566,0.03723026343284622,0.0,0,26-35
400000,2,2,1,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,116825.33333333333,3792.1666666666665,139060,10700,0.29206333333333334,22753,700952,0.03246013992398909,0.3333333333333333,1,36-50
50000,2,3,2,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,29583.166666666668,1008.6666666666666,48909,1676,0.5916633333333333,6052,177499,0.03409596673784078,0.0,0,36-50
160000,1,2,2,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,111168.83333333333,16957.833333333332,130028,80000,0.6948052083333333,101747,667013,0.15254125481812197,0.0,0,26-35
360000,2,1,1,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,585.0,390.0,1170,1170,0.001625,2340,3510,0.6666666666666666,-0.3333333333333333,1,36-50
160000,2,2,2,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,5270.5,1369.3333333333333,8604,2303,0.032940625,8216,31623,0.2598108971318344,-0.16666666666666666,0,26-35
130000,2,1,1,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,37755.666666666664,9450.833333333334,117866,40000,0.2904282051282051,56705,226534,0.25031562591045936,-0.5,0,26-35
20000,1,3,2,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,10218.166666666666,1025.1666666666667,12314,2000,0.5109083333333333,6151,61309,0.10032784746122103,1.0,3,36-50
200000,1,1,1,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,143694.5,5466.666666666667,149531,6300,0.7184725,32800,862167,0.03804367367342986,2.0,6,51+
280000,2,1,2,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,2560.0,661.3333333333334,7524,3968,0.009142857142857144,3968,15360,0.25833333333333336,-0.8333333333333334,0,36-50
100000,2,1,2,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,592.5,1259.1666666666667,5555,7555,0.005925,7555,3555,2.1251758087201127,-2.0,0,26-35
160000,2,2,1,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,693.6666666666666,1836.3333333333333,1602,7736,0.004335416666666666,11018,4162,2.647284959154253,-1.1666666666666667,0,36-50
60000,2,2,2,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,32973.166666666664,1043.5,47214,1937,0.5495527777777778,6261,197839,0.031646945243354443,0.0,0,18-25
90000,1,2,2,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,59119.333333333336,1959.3333333333333,87653,3621,0.6568814814814815,11756,354716,0.03314200656299687,0.0,0,26-35
360000,1,1,1,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,9743.333333333334,20102.166666666668,26370,68978,0.027064814814814816,120613,58460,2.0631713992473486,-0.8333333333333334,0,36-50
150000,1,1,2,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,79901.83333333333,3973.5,89775,10006,0.5326788888888888,23841,479411,0.04972977257509736,0.0,0,26-35
50000,2,3,1,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,13965.666666666666,630.5,18722,1411,0.2793133333333333,3783,83794,0.045146430532019,0.0,0,18-25
20000,1,2,1,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,15536.166666666666,947.5,19559,1750,0.7768083333333333,5685,93217,0.06098672988832509,-0.16666666666666666,0,36-50
140000,1,1,2,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,2279.8333333333335,2167.8333333333335,10212,10212,0.01628452380952381,13007,13679,0.9508736018714818,-2.0,0,26-35
380000,2,1,2,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,22100.333333333332,7003.166666666667,34056,33178,0.058158771929824556,42019,132602,0.3168805900363494,-0.8333333333333334,0,26-35
480000,1,1,1,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,460169.1666666667,21828.5,487066,55693,0.9586857638888889,130971,2761015,0.04743581617629748,0.6666666666666666,2,51+
50000,2,3,2,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,34227.666666666664,1145.0,44698,1767,0.6845533333333332,6870,205366,0.03345247022389295,0.0,0,18-25
60000,2,2,2,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,57006.333333333336,2252.8333333333335,60218,5000,0.9501055555555556,13517,342038,0.039519000812775186,1.6666666666666667,5,26-35
70000,2,2,2,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,5351.5,4754.833333333333,26529,26529,0.07645,28529,32109,0.8885047805911115,-1.5,0,18-25
80000,2,2,1,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,2977.5,2132.3333333333335,6108,3319,0.03721875,12794,17865,0.7161488944864259,-1.0,0,36-50
350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,1831.1666666666667,2547.5,5263,5263,0.005231904761904762,15285,10987,1.3911895876945481,-1.0,0,51+
130000,1,2,2,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,113489.66666666667,47961.333333333336,178382,133841,0.872997435897436,287768,680938,0.4226052885872135,-0.5,0,36-50
360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,-103.0,0.0,-103,0,-0.0002861111111111111,0,-618,-0.0,-1.5,1,26-35
330000,2,1,1,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0,106596.66666666667,5457.833333333333,108431,15794,0.32302020202020204,32747,639580,0.05120078801713625,0.3333333333333333,1,26-35
50000,1,3,1,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,15523.166666666666,1166.6666666666667,17393,2000,0.3104633333333333,7000,93139,0.07515648654162059,0.3333333333333333,1,36-50
280000,1,2,1,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0,142501.33333333334,6767.333333333333,152174,14850,0.5089333333333333,40604,855008,0.04748961413226543,2.1666666666666665,6,36-50
100000,2,1,2,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,55864.333333333336,2977.6666666666665,60100,5080,0.5586433333333334,17866,335186,0.05330174887972648,0.0,0,18-25
50000,1,2,2,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0,19851.666666666668,911.8333333333334,20311,1340,0.39703333333333335,5471,119110,0.04593233145831584,0.0,0,36-50
30000,1,1,2,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1,19610.0,1052.0,21319,3000,0.6536666666666666,6312,117660,0.0536460989291178,1.0,3,18-25
240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0,1242.6666666666667,1276.0,5676,5676,0.005177777777777778,7656,7456,1.0268240343347639,-1.0,0,26-35
